['476', '344', '466', '376', '989', '390', '167', '288', '181', '687', '58', '221', '799', '36', '610', '653', '672', '632', '924', '154', '613', '31', '891', '487', '242', '683', '355', '238', '845', '67', '631', '407', '860', '665', '278', '78', '338', '357', '173', '467', '575', '243', '380', '326', '982', '193', '527', '728', '581', '973', '556', '497', '920', '828', '775', '370', '756', '578', '382', '887', '189', '261', '597', '674', '275', '296', '870']
['985', '880', '676', '77', '5', '629', '898', '841', '888', '481', '205', '842', '669', '117', '573', '471', '159', '295', '503']
['837', '44', '997', '483', '566', '368', '781', '73', '152', '461', '729', '804', '360', '233', '386', '600', '738', '213', '419']
['206', '834', '520', '21', '603', '705', '333', '823', '369', '892', '942', '372', '807', '852', '132', '709', '337', '509', '422']
['202', '171', '456', '399', '956', '895', '235', '967', '199', '83', '489', '435', '300', '664', '539', '932', '127', '522', '400']
['37', '398', '96', '894', '939', '200', '90', '987', '909', '869', '95', '713', '797', '464', '698', '51', '893', '645', '203']
['777', '25', '911', '441', '882', '153', '403', '874', '673', '793', '162', '765', '341', '136', '486', '484', '623', '703', '14']
['129', '346', '519', '696', '194', '524', '867', '208', '609', '257', '448', '120', '546', '839', '620', '237', '232', '267', '105']
['285', '276', '731', '724', '960', '953', '795', '35', '251', '244', '980', '903', '811', '459', '954', '833', '621', '351', '772']
['712', '492', '371', '29', '249', '748', '425', '366', '273', '559', '327', '521', '428', '27', '72', '831', '836', '48', '324']
['499', '146', '681', '394', '262', '157', '93', '378', '345', '12', '592', '599', '478', '211', '269', '984', '821', '240', '290']
['482']
['103', '589', '983', '426', '8', '98', '717', '530', '23', '977', '85', '555', '80', '929', '877', '542', '176', '130', '692']
['567', '543', '46', '846', '207', '607', '601', '585', '84', '619', '579', '501', '908', '280', '813', '794', '886', '155', '878']
['884', '137', '500', '41', '217', '231', '373', '374', '395', '347', '87', '782', '421', '900', '508', '406', '787', '135', '172']
['198', '930', '253', '328', '679', '809', '976', '598', '460', '514', '322', '239', '42', '951', '102', '840', '859', '397', '646']
