['798', '925', '596', '767', '794', '514', '801', '116', '478', '31', '379', '998', '348', '854', '362', '636', '131', '812', '873', '211']
['475', '978', '267', '983', '332', '181', '655', '554', '239', '386', '964', '646', '686', '753', '875', '791', '572', '354', '445', '856']
['903', '850', '263', '261', '50', '610', '23', '766', '719', '584', '154', '293', '147', '276', '314', '151', '515', '443', '757', '498']
['463', '908', '77', '24', '569', '920', '625', '669', '322', '353', '932', '67', '571', '107', '45', '780', '410', '16', '990', '91']
['820', '538', '298', '49', '55', '258', '814', '180', '98', '145', '737', '89', '855', '346', '501', '641', '95', '141', '590', '561']
['748', '64', '582', '745', '460', '678', '295', '458', '771', '402', '879', '632', '836', '680', '519', '397', '871', '652', '367', '363']
['889', '265', '59', '531', '306', '829', '197', '125', '616', '653', '37', '12', '883', '408', '135', '702', '995', '222', '823', '845']
['935', '659', '656', '677', '585', '765', '818', '989', '294', '360', '499', '439', '58', '20', '825', '642', '784', '66', '453', '120']
['246', '285', '676', '250', '817', '172', '510', '440', '620', '525', '922', '118', '886', '708', '970', '412', '639', '682', '76', '480']
['393', '707', '262', '454', '534', '320', '881', '418', '405', '609', '43', '223', '723', '878', '47', '200', '305', '204', '865', '839']
['860', '822', '372', '512', '333', '256', '70', '65', '187', '129', '979', '872', '194', '81', '473', '700', '882', '690', '61', '579']
['368', '869', '511', '573', '848', '207', '10', '429', '675', '876', '664', '456', '581', '916', '14', '870', '826', '960', '683', '977']
['215', '385', '781', '904', '370', '327', '593', '395', '813', '244', '967', '447', '441', '313', '86', '144', '953', '530', '635', '853']
['948', '934', '455', '329', '705', '383', '46', '225', '803', '219', '419', '366', '539', '36', '432', '483', '644', '996', '747', '283']
['711', '587', '8', '111', '513', '899', '103', '827', '384', '162', '776', '762', '382', '522', '666', '18', '645', '0', '734', '731']
['847', '600', '858', '654', '926', '528', '500', '198', '123', '867', '489', '697', '924', '438', '169', '851', '375', '704', '952', '580']
['226', '315', '93', '317', '240', '915', '725', '782', '217', '165', '729', '857', '576', '347', '629', '713', '698', '113', '159', '547']
['491', '637', '993', '209', '229', '931', '472', '835', '427', '852', '962', '220', '32', '228', '254', '48', '423', '966', '831', '30']
['336', '227', '155', '943', '416', '175', '918', '687', '188', '976', '148', '606', '497', '138', '984', '174', '214', '178', '958', '193']
['190', '518', '842', '986', '574', '752', '339', '727', '371', '927', '130', '312', '733', '741', '275', '891', '516', '28', '338', '425']
['864', '26', '213', '75', '132', '38', '907', '163', '604', '272', '344', '241', '821', '597', '594', '15', '992', '233', '68', '63']
['828', '224', '914', '269', '830', '930', '387', '746', '192', '495', '591', '802', '900', '598', '808', '88', '550', '744', '957', '273']
['987', '764', '880', '602', '390', '536', '754', '578', '341', '894', '106', '5', '451', '303', '19', '430', '284', '34', '481', '906']
['694', '703', '658', '355', '304', '44', '699', '457', '502', '373', '406', '608', '270', '377', '238', '933', '709', '770', '128', '468']
['562', '171', '57', '503', '769', '592', '589', '450', '268', '486', '807', '577', '177', '832', '153', '140', '25', '139', '622', '309']
['720', '758', '623', '559', '921', '892', '221', '586', '805', '613', '361', '334', '415', '779', '681', '650', '264', '543', '633', '545']
['74', '843', '685', '260', '527', '212', '693', '167', '345', '168', '401', '838', '555', '792', '13', '662', '126', '80', '890', '101']
['785', '862', '17', '195', '505', '566', '184', '279', '946', '300', '887', '152', '605', '421', '509', '834', '793', '466', '506', '119']
['660', '449', '328', '252', '997', '476', '330', '692', '203', '364', '549', '611', '90', '947', '365', '517', '621', '945', '844', '740']
['507', '21', '968', '470', '357', '381', '356', '663', '756', '474', '787', '150', '661', '477', '941', '736', '811', '422', '706', '797']
['92', '520', '898', '897', '274', '105', '442', '788', '730', '452', '761', '60', '6', '259', '40', '544', '775', '73', '245', '679']
['428', '444', '358', '289', '97', '62', '321', '325', '837', '963', '750', '173', '249', '288', '777', '326', '601', '170', '9', '247']
