['370', '190', '996', '31', '574', '981', '518', '733', '701', '685', '428', '591', '255', '852', '654', '596', '608', '537', '822', '288', '861', '391', '610', '104', '635']
['55', '546', '389', '881', '145', '547', '146', '191', '620', '494', '609', '339', '986', '764', '242', '455', '534', '687', '500', '580', '730', '966', '406', '922', '850']
['583', '961', '408', '708', '122', '397', '41', '885', '156', '572', '261', '545', '65', '426', '364', '127', '474', '195', '197', '132', '644', '513', '586', '72', '252']
['99', '955', '231', '305', '315', '787', '798', '625', '344', '562', '112', '241', '745', '215', '352', '670', '94', '277', '931', '992', '257', '462', '471', '237', '818']
['560', '975', '102', '606', '38', '530', '677', '44', '732', '774', '824', '543', '291', '424', '345', '152', '384', '134', '833', '322', '258', '995', '464', '756', '634']
['340', '179', '120', '855', '618', '275', '150', '439', '265', '876', '858', '941', '13', '539', '18', '203', '116', '783', '809', '497', '820', '544', '565', '724', '755']
['239', '39', '651', '929', '837', '279', '451', '457', '734', '438', '954', '105', '987', '209', '440', '642', '452', '225', '529', '581', '106', '475', '293', '369', '988']
['363', '493', '815', '779', '446', '399', '658', '508', '743', '338', '228', '900', '357', '353', '528', '851', '713', '250', '314', '925', '749', '947', '138', '896', '160']
['782', '60', '30', '49', '108', '967', '295', '552', '311', '85', '46', '47', '933', '709', '699', '557', '765', '979', '91', '899', '469', '506', '531', '695', '445']
['306', '376', '283', '579', '205', '290', '878', '649', '360', '444', '790', '504', '282', '895', '129', '404', '43', '681', '64', '320', '665', '27', '0', '853', '974']
['568', '971', '959', '356', '240', '866', '143', '62', '863', '501', '907', '350', '956', '688', '525', '358', '948', '957', '286', '578', '865', '952', '872', '893', '144']
['854', '387', '473', '919', '448', '897', '168', '740', '970', '630', '870', '137', '963', '68', '917', '639', '202', '994', '913', '26', '450', '177', '877', '567', '157']
['481', '983', '430', '75', '791', '800', '722', '566', '170', '148', '830', '119', '645', '998', '627', '536', '679', '746', '118', '6', '661', '42', '873', '403', '79']
['674', '650', '366', '641', '844', '887', '736', '673', '760', '892', '206', '247', '476', '423', '2', '569', '12', '184', '297', '496', '906', '101', '659', '969', '377']
['251', '716', '414', '180', '330', '882', '37', '479', '915', '558', '480', '394', '571', '595', '198', '304', '840', '427', '942', '703', '316', '796', '597', '335', '349']
['778', '666', '16', '748', '130', '726', '131', '321', '407', '402', '491', '154', '916', '147', '702', '657', '768', '400', '767', '53', '54', '605', '194', '982', '126']
['575', '738', '227', '751', '354', '361', '390', '646', '785', '238', '924', '22', '301', '164', '213', '280', '692', '111', '373', '222', '927', '244', '14', '171', '712']
['962', '463', '930', '421', '750', '742', '582', '139', '107', '73', '296', '640', '383', '263', '841', '461', '435', '235', '686', '521', '58', '25', '272', '287', '487']
