['658', '652', '178', '227', '709', '187', '108', '976', '957', '871', '872', '147', '858', '245', '185', '458', '951', '51', '736', '829']
['890', '27', '831', '478', '967', '769', '34', '38', '822', '501', '428', '572', '665', '109', '69', '228', '240', '671', '881', '567']
['361', '934', '105', '746', '407', '415', '94', '16', '466', '170', '33', '482', '161', '743', '830', '288', '518', '424', '851', '483']
['383', '570', '281', '725', '918', '272', '519', '903', '425', '729', '357', '669', '260', '777', '635', '190', '757', '561', '546', '32']
['99', '778', '625', '343', '317', '238', '120', '481', '286', '29', '640', '653', '706', '348', '437', '447', '988', '218', '334', '775']
['231', '182', '319', '535', '524', '26', '469', '387', '855', '940', '730', '150', '467', '416', '639', '939', '906', '614', '145', '121']
['104', '279', '131', '611', '301', '981', '989', '699', '324', '77', '378', '246', '975', '517', '799', '770', '664', '296', '360', '306']
['956', '442', '10', '408', '662', '193', '313', '873', '210', '156', '307', '480', '960', '916', '468', '366', '798', '411', '685', '46']
['254', '698', '419', '15', '794', '589', '28', '633', '198', '189', '78', '176', '604', '720', '608', '372', '62', '295', '573', '352']
['276', '516', '708', '707', '122', '510', '785', '396', '432', '101', '505', '330', '877', '503', '298', '8', '684', '390', '278', '690']
['197', '123', '453', '616', '825', '814', '740', '345', '22', '827', '380', '938', '5', '445', '844', '530', '692', '996', '551', '946']
['888', '73', '115', '688', '954', '221', '382', '167', '14', '605', '811', '842', '509', '494', '229', '367', '893', '92', '948', '896']
['676', '547', '601', '264', '578', '100', '591', '875', '898', '421', '990', '316', '500', '420', '610', '491', '138', '220', '200', '403']
['435', '694', '854', '328', '970', '968', '645', '391', '982', '255', '560', '700', '341', '786', '733', '184', '20', '857', '847', '783']
['225', '593', '805', '169', '118', '153', '937', '1', '808', '569', '679', '331', '764', '476', '884', '751', '450', '149', '96', '130']
['370', '374', '774', '584', '56', '376', '355', '994', '810', '177', '143', '563', '219', '158', '36', '549', '565', '748', '691', '174']
['18', '312', '717', '675', '541', '112', '24', '7', '212', '574', '636', '525', '724', '594', '511', '275', '870', '443', '72', '88']
['489', '66', '344', '963', '358', '515', '243', '571', '919', '848', '756', '754', '697', '776', '499', '85', '623', '868', '803', '47']
['869', '19', '232', '540', '554', '816', '418', '354', '65', '84', '826', '683', '894', '318', '711', '621', '755', '321', '841', '242']
['204', '714', '21', '284', '559', '801', '224', '349', '597', '944', '950', '25', '287', '124', '440', '142', '553', '562', '745', '315']
['528', '166', '622', '911', '966', '590', '537', '129', '552', '712', '556', '617', '222', '863', '304', '113', '369', '791', '81', '973']
['183', '744', '323', '771', '388', '173', '899', '393', '135', '486', '244', '159', '0', '649', '545', '852', '828', '67', '539', '261']
['207', '782', '588', '922', '82', '320', '362', '999', '86', '339', '188', '471', '926', '807', '338', '917', '402', '305', '256', '290']
['160', '713', '643', '211', '215', '291', '448', '280', '809', '114', '179', '818', '568', '477', '924', '984', '680', '269', '542', '241']
['141', '866', '53', '904', '667', '534', '140', '61', '492', '412', '765', '749', '767', '900', '274', '283', '544', '42', '512', '165']
['656', '332', '373', '839', '532', '455', '985', '336', '247', '974', '819', '952', '753', '587', '470', '404', '493', '79', '266', '444']
['76', '335', '311', '986', '106', '907', '303', '422', '886', '37', '833', '487', '991', '248', '426', '127', '258', '817', '423', '508']
['214', '878', '60', '867', '299', '277', '496', '459', '971', '933', '895', '128', '995', '456', '840', '758', '322', '479', '251', '727']
['4', '654', '386', '23', '548', '536', '333', '134', '233', '146', '364', '310', '585', '612', '192', '800', '253', '462', '3', '600']
['392', '514', '297', '647', '648', '742', '718', '583', '860', '715', '144', '732', '485', '979', '920', '351', '837', '270', '163', '226']
['835', '74', '788', '168', '598', '575', '634', '97', '465', '294', '70', '930', '581', '68', '533', '632', '196', '289', '365', '249']
['152', '400', '520', '762', '695', '722', '620', '723', '909', '217', '773', '941', '731', '523', '257', '12', '650', '637', '853', '864']
['566', '696', '763', '223', '91', '599', '337', '836', '969', '472', '668', '603', '521', '741', '682', '44', '191', '945', '384', '901']
['693', '180', '538', '50', '943', '849', '498', '282', '710', '677', '93', '739', '838', '267', '586', '927', '615', '793', '488', '292']
