['293', '692', '411', '878', '337']
['632', '346', '302', '139', '851']
['604', '353', '522', '611', '593']
['744', '711', '155', '22', '161']
['334', '152', '320', '580', '990']
['768', '21', '926', '820', '508']
['658', '240', '374', '76', '750']
['800', '207', '172', '461', '644']
['506', '325', '656', '855', '71']
['315', '742', '345', '286', '36']
['781', '404', '505', '584', '807']
['949', '729', '774', '940', '616']
['698', '366', '26', '710', '707']
['400', '874', '802', '170', '817']
['281', '367', '234', '667', '888']
['415', '524', '248', '797', '231']
['544', '838', '773', '133', '871']
['499', '699', '572', '192', '296']
['714', '493', '116', '226', '769']
['545', '759', '496', '423', '724']
['646', '134', '253', '150', '691']
['251', '501', '213', '685', '419']
['66', '804', '30', '839', '811']
['283', '599', '547', '278', '13']
['219', '610', '626', '261', '649']
['921', '144', '42', '197', '90']
['581', '960', '443', '195', '108']
['74', '485', '918', '130', '166']
['749', '34', '941', '709', '167']
['310', '717', '235', '829', '62']
['914', '347', '444', '291', '173']
['801', '187', '317', '470', '121']
['448', '837', '799', '381', '63']
['814', '725', '752', '720', '621']
['147', '922', '4', '673', '951']
['877', '592', '546', '983', '45']
['329', '394', '370', '602', '677']
['882', '929', '696', '931', '67']
['816', '277', '939', '46', '43']
['95', '91', '453', '27', '834']
['569', '674', '515', '104', '110']
['567', '123', '38', '185', '270']
['535', '61', '80', '184', '975']
['950', '516', '526', '890', '254']
['660', '889', '760', '117', '201']
['262', '884', '552', '627', '634']
['18', '190', '5', '169', '895']
['650', '550', '228', '952', '308']
['157', '70', '680', '624', '968']
['294', '504', '424', '549', '803']
['441', '712', '953', '958', '31']
['305', '595', '825', '778', '382']
['706', '872', '87', '362', '471']
['186', '615', '312', '783', '976']
['437', '428', '818', '412', '388']
['410', '402', '307', '743', '313']
['739', '969', '932', '97', '828']
['863', '955', '53', '81', '160']
['690', '93', '198', '434', '322']
['700', '149', '73', '405', '875']
['566', '738', '385', '452', '999']
['876', '568', '205', '125', '316']
['247', '451', '553', '823', '393']
['10', '282', '472', '945', '746']
['269', '40', '352', '351', '590']
['663', '695', '920', '52', '446']
['904', '585', '669', '258', '558']
['256', '129', '131', '202', '435']
['530', '342', '575', '218', '594']
['959', '94', '418', '563', '915']
['271', '787', '146', '675', '183']
['406', '244', '233', '378', '480']
['954', '514', '373', '473', '377']
['753', '85', '903', '330', '199']
['191', '670', '908', '577', '784']
['350', '571', '551', '809', '83']
['386', '977', '162', '927', '323']
['58', '937', '246', '613', '653']
['813', '786', '417', '268', '647']
['657', '182', '44', '762', '532']
['893', '609', '979', '466', '266']
['830', '645', '436', '962', '56']
['917', '401', '557', '827', '665']
['369', '429', '574', '177', '570']
['354', '607', '478', '440', '832']
['455', '842', '239', '237', '372']
['883', '109', '733', '509', '821']
['391', '523', '331', '299', '257']
['230', '127', '28', '174', '164']
['603', '919', '0', '298', '420']
['396', '449', '229', '731', '153']
['608', '491', '383', '336', '206']
['163', '132', '107', '681', '303']
['779', '737', '512', '543', '806']
['154', '464', '339', '518', '459']
['384', '483', '72', '433', '582']
['965', '497', '748', '687', '923']
['120', '68', '747', '279', '766']
['583', '99', '864', '867', '304']
['171', '200', '652', '869', '988']
['77', '389', '395', '324', '605']
['831', '242', '648', '916', '35']
['7', '495', '357', '510', '980']
