['604', '425', '475', '795']
['949', '452', '929', '937']
['836', '522', '857', '218']
['665', '295', '553', '150']
['917', '654', '339', '542']
['607', '127', '185', '232']
['283', '300', '951', '409']
['456', '681', '799', '307']
['140', '790', '501', '770']
['224', '606', '891', '777']
['66', '2', '718', '946']
['868', '58', '537', '560']
['458', '591', '646', '116']
['789', '284', '945', '98']
['563', '733', '536', '48']
['76', '716', '874', '934', '32']
['375', '514', '518', '92']
['346', '239', '785', '398']
['238', '943', '274', '75']
['81', '288', '488', '888']
['324', '102', '590', '261']
['907', '813', '37', '527']
['209', '67', '575', '122']
['666', '848', '262', '100']
['641', '776', '77', '533']
['621', '6', '519', '151']
['134', '894', '180', '159']
['368', '148', '5', '815']
['808', '672', '472', '517']
['111', '920', '660', '444']
['153', '28', '451', '569']
['335', '829', '766', '661']
['136', '392', '633', '614']
['567', '215', '435', '598']
['585', '904', '29', '685']
['579', '583', '88', '481']
['913', '910', '377', '351']
['805', '656', '421', '642']
['461', '254', '912', '348']
['493', '321', '12', '7']
['22', '10', '373', '634']
['842', '264', '600', '699']
['557', '758', '504', '424']
['52', '344', '870', '802']
['849', '816', '129', '801']
['247', '204', '11', '429']
['312', '442', '44', '760']
['33', '620', '778', '331']
['157', '440', '277', '142']
['292', '650', '562', '502']
['279', '664', '183', '835']
['105', '687', '825', '255']
['753', '689', '496', '482']
['742', '761', '788', '950']
['135', '721', '743', '476']
['450', '812', '196', '345']
['581', '754', '47', '865']
['447', '955', '678', '675']
['844', '903', '269', '314']
['54', '793', '206', '529']
['399', '253', '608', '350']
['818', '170', '316', '403']
['226', '539', '177', '200']
['740', '953', '882', '558']
['738', '819', '83', '939']
['731', '469', '708', '386']
['147', '363', '40', '636']
['208', '676', '756', '507']
['823', '757', '191', '19']
['195', '914', '809', '546']
['166', '616', '378', '443']
['387', '296', '163', '79']
['845', '483', '17', '618']
['638', '663', '313', '243']
['304', '780', '863', '927']
['859', '270', '419', '573']
['287', '572', '898', '548']
['686', '749', '839', '706']
['902', '14', '878', '884']
['615', '644', '941', '737']
['310', '784', '359', '326']
['306', '446', '763', '31']
['290', '384', '651', '489']
['520', '931', '840', '707']
['80', '42', '441', '748']
['580', '826', '895', '851']
['152', '410', '744', '338']
['18', '909', '543', '294']
['291', '4', '260', '242']
['380', '121', '454', '471']
['21', '729', '93', '95']
['860', '623', '104', '422']
['673', '883', '639', '726']
['376', '669', '125', '658']
['50', '298', '596', '383']
['491', '138', '624', '547']
['13', '385', '303', '101']
['938', '498', '99', '405']
['35', '459', '161', '449']
['952', '84', '244', '265']
['276', '906', '538', '175']
['297', '203', '45', '184']
['256', '630', '145', '400']
['901', '106', '850', '364']
['846', '727', '631', '416']
['497', '709', '541', '379']
['407', '671', '584', '890']
['741', '668', '397', '495']
['724', '751', '457', '394']
['381', '329', '940', '231']
['372', '535', '648', '601']
['236', '719', '114', '293']
['872', '192', '438', '565']
['73', '366', '281', '301']
['735', '327', '8', '30']
['942', '462', '198', '308']
['249', '521', '550', '831']
['640', '342', '71', '352']
['401', '908', '325', '418']
['879', '370', '39', '65']
['564', '956', '568', '38']
['928', '117', '340', '414']
['551', '178', '747', '484']
['299', '899', '556', '645']
['139', '437', '228', '877']
['341', '921', '871', '51']
['199', '503', '128', '682']
['234', '768', '205', '769']
['887', '94', '357', '119']
['356', '225', '930', '635']
['72', '328', '626', '286']
['588', '703', '241', '915']
['126', '781', '647', '746']
['86', '722', '411', '268']
['466', '141', '317', '530']
['919', '85', '828', '144']
['690', '487', '696', '926']
['448', '540', '714', '60']
['652', '430', '309', '508']
['355', '343', '717', '434']
['728', '235', '695', '765']
['173', '617', '272', '786']
['534', '282', '470', '804']
['820', '814', '413', '311']
['132', '319', '711', '240']
['679', '115', '599', '490']
['705', '873', '246', '123']
['881', '189', '57', '96']
['609', '771', '362', '922']
['167', '667', '625', '852']
['130', '755', '25', '160']
['322', '772', '252', '807']
['732', '513', '494', '176']
['259', '168', '124', '465']
['347', '587', '213', '800']
['187', '417', '210', '169']
['89', '611', '275', '406']
['762', '0', '273', '593']
['162', '358', '165', '97']
['582', '720', '330', '211']
