['613', '419', '368', '221', '673', '264', '47', '974', '984', '31', '877', '447', '921', '548', '739', '94', '491', '329', '196', '431']
['662', '372', '19', '715', '141', '271', '203', '808', '864', '649', '410', '282', '280', '164', '192', '733', '859', '633', '363', '246']
['490', '724', '555', '867', '800', '845', '854', '132', '806', '462', '620', '539', '741', '482', '855', '458', '936', '465', '849', '529']
['525', '247', '488', '574', '42', '175', '843', '697', '940', '952', '165', '284', '78', '212', '558', '497', '826', '530', '290', '512']
['651', '812', '155', '210', '484', '142', '768', '169', '125', '457', '735', '723', '89', '261', '350', '878', '30', '556', '163', '995']
['531', '411', '562', '106', '695', '513', '265', '283', '584', '821', '906', '387', '171', '296', '636', '938', '117', '123', '798', '594']
['159', '873', '844', '436', '507', '427', '13', '643', '5', '953', '102', '686', '816', '537', '216', '614', '521', '773', '782', '545']
['305', '50', '928', '758', '883', '696', '91', '828', '174', '618', '319', '891', '351', '660', '112', '905', '913', '28', '942', '258']
['426', '912', '678', '177', '595', '771', '26', '379', '930', '156', '689', '916', '277', '198', '646', '456', '255', '131', '996', '287']
['681', '234', '631', '150', '257', '20', '503', '538', '235', '563', '774', '404', '577', '140', '406', '890', '764', '603', '688', '237']
['160', '728', '383', '770', '824', '307', '9', '518', '126', '272', '799', '381', '124', '382', '55', '924', '693', '850', '408', '304']
['713', '86', '241', '707', '480', '638', '987', '151', '147', '566', '87', '442', '736', '536', '183', '468', '120', '191', '467', '732']
['335', '767', '720', '790', '128', '205', '504', '315', '895', '979', '328', '787', '422', '207', '923', '803', '755', '754', '356', '347']
['145', '27', '92', '243', '540', '32', '744', '948', '48', '712', '894', '1', '225', '887', '625', '968', '109', '596', '769', '630']
['318', '11', '971', '182', '667', '214', '143', '515', '200', '900', '931', '885', '794', '947', '370', '861', '399', '135', '972', '949']
['224', '580', '331', '499', '268', '95', '295', '992', '73', '346', '275', '83', '195', '352', '813', '570', '888', '226', '954', '551']
['67', '470', '115', '378', '251', '178', '69', '17', '194', '650', '950', '717', '93', '59', '746', '985', '2', '321', '679', '36']
['639', '637', '661', '922', '897', '423', '576', '541', '777', '635', '138', '838', '375', '929', '699', '230', '629', '146', '680', '683']
['369', '592', '466', '765', '345', '847', '365', '420', '829', '79', '0', '46', '607', '817', '892', '44', '926', '12', '601', '851']
['578', '786', '880', '674', '189', '793', '652', '874', '797', '976', '868', '711', '759', '522', '56', '294', '622', '96', '90', '866']
['100', '725', '989', '49', '510', '963', '486', '173', '722', '273', '966', '45', '77', '969', '903', '148', '40', '543', '82', '414']
['310', '119', '862', '589', '908', '648', '568', '825', '789', '437', '848', '438', '158', '700', '734', '259', '222', '626', '706', '781']
['393', '359', '168', '967', '902', '396', '585', '704', '881', '332', '676', '54', '80', '958', '121', '439', '316', '446', '448', '209']
['197', '528', '608', '886', '16', '51', '61', '805', '184', '807', '464', '544', '875', '593', '231', '98', '766', '367', '340', '623']
['997', '323', '743', '727', '227', '208', '24', '215', '474', '74', '366', '685', '176', '441', '628', '476', '137', '313', '81', '611']
['882', '714', '68', '964', '920', '534', '516', '371', '489', '52', '110', '33', '473', '111', '308', '485', '306', '941', '823', '433']
['454', '220', '785', '818', '898', '374', '72', '776', '553', '879', '354', '779', '254', '199', '756', '587', '358', '588', '709', '914']
['961', '564', '901', '417', '655', '965', '472', '7', '671', '25', '991', '337', '925', '546', '349', '835', '481', '388', '161', '455']
['190', '64', '320', '424', '136', '664', '430', '403', '204', '760', '293', '186', '832', '747', '99', '547', '185', '641', '698', '814']
['29', '959', '982', '460', '103', '917', '692', '583', '206', '659', '240', '863', '274', '105', '616', '988', '675', '428', '21', '762']
['228', '238', '327', '581', '738', '737', '18', '418', '846', '500', '15', '669', '450', '276', '834', '459', '397', '978', '157', '85']
['242', '66', '361', '477', '657', '653', '76', '778', '532', '550', '492', '201', '542', '4', '511', '970', '322', '413', '927', '71']
['889', '719', '666', '43', '262', '837', '656', '935', '239', '612', '444', '554', '62', '22', '278', '57', '919', '425', '804', '994']
