['439', '761', '638']
['257', '598', '411']
['338', '991', '846']
['788', '244', '281']
['190', '758', '246']
['188', '703', '77']
['295', '513', '954']
['590', '81', '427']
['536', '522', '778']
['208', '743', '622']
['544', '455', '114']
['588', '179', '175']
['120', '388', '124']
['896', '750', '41']
['239', '348', '760']
['927', '874', '551']
['387', '882', '812']
['930', '318', '974']
['905', '953', '683']
['993', '322', '398']
['90', '20', '391']
['176', '926', '364']
['389', '585', '417']
['264', '444', '198']
['869', '374', '963']
['742', '25', '664']
['861', '510', '948']
['798', '100', '420']
['458', '347', '332']
['478', '227', '828']
['111', '159', '947']
['384', '7', '539']
['641', '104', '240']
['897', '6', '654']
['235', '49', '115']
['889', '629', '733']
['631', '850', '58']
['324', '339', '720']
['935', '496', '997']
['288', '705', '767']
['800', '118', '517']
['145', '501', '645']
['799', '166', '42']
['845', '872', '804']
['453', '943', '489']
['680', '172', '548']
['249', '676', '806']
['870', '620', '97']
['660', '755', '969']
['312', '559', '550']
['558', '818', '38']
['994', '945', '34']
['722', '643', '808']
['357', '569', '186']
['35', '503', '607']
['298', '526', '266']
['807', '671', '817']
['602', '838', '915']
['131', '358', '402']
['854', '409', '53']
['563', '582', '283']
['399', '640', '226']
['493', '792', '729']
['895', '777', '354']
['533', '220', '279']
['600', '476', '855']
['213', '913', '148']
['942', '340', '236']
['311', '193', '134']
['195', '309', '73']
['802', '289', '557']
['718', '781', '98']
['269', '52', '595']
['649', '572', '287']
['252', '361', '8']
['467', '422', '165']
['494', '465', '82']
['370', '18', '576']
['754', '469', '918']
['839', '46', '155']
['678', '797', '404']
['903', '881', '725']
['319', '696', '168']
['316', '679', '894']
['910', '425', '567']
['584', '779', '919']
['51', '122', '485']
['790', '43', '744']
['941', '700', '352']
['99', '367', '27']
['317', '79', '290']
['840', '191', '138']
['697', '170', '875']
['65', '560', '975']
['555', '149', '702']
['692', '983', '708']
['343', '372', '956']
['112', '378', '951']
['741', '960', '833']
['636', '300', '217']
['552', '730', '50']
['133', '738', '3']
['10', '653', '29']
['594', '847', '946']
['663', '976', '747']
['395', '355', '675']
['573', '424', '990']
['938', '36', '618']
['535', '26', '529']
['103', '94', '135']
['662', '665', '693']
['694', '811', '908']
['250', '204', '93']
['717', '492', '701']
['32', '487', '383']
['265', '248', '961']
['832', '877', '805']
['89', '194', '936']
['76', '916', '716']
['940', '787', '970']
['885', '857', '579']
['866', '261', '205']
['393', '888', '451']
['642', '271', '241']
['130', '862', '586']
['310', '473', '88']
['647', '577', '214']
['232', '527', '408']
['684', '184', '810']
['449', '96', '169']
['739', '326', '245']
['382', '686', '856']
['891', '876', '390']
['132', '724', '546']
['813', '428', '421']
['140', '772', '911']
['587', '129', '757']
['775', '601', '21']
['463', '630', '516']
['909', '933', '972']
['442', '233', '351']
['599', '255', '853']
['809', '873', '639']
['218', '574', '512']
['177', '301', '37']
['272', '5', '690']
['673', '902', '771']
['377', '980', '297']
['102', '659', '709']
['113', '981', '965']
['979', '222', '15']
